CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
C0000001,Thomas,497,France,Male,39,10,0.0,2,1,1,74098.57,1
C0000002,Garcia,419,Spain,Male,19,2,47332.54,1,1,0,137219.67,1
C0000003,Miller,809,Germany,Male,21,1,124121.68,1,1,0,175017.78,1
C0000004,Miller,719,Germany,Female,62,0,0.0,2,1,1,100550.98,1
C0000005,Davis,425,France,Male,30,6,152912.26,2,0,1,138316.13,0
C0000006,Brown,463,France,Female,72,2,0.0,2,1,0,172580.21,0
C0000007,Jackson,352,France,Male,49,5,0.0,2,1,0,150482.69,1
C0000008,Taylor,583,Spain,Female,39,9,0.0,1,0,0,38616.65,1
C0000009,Wilson,516,Germany,Female,42,7,176236.22,2,0,1,47307.64,0
C0000010,Smith,448,Germany,Female,44,5,0.0,1,1,0,34794.68,1
C0000011,Smith,473,France,Female,72,6,33425.95,1,1,0,70806.21,1
C0000012,Smith,816,Spain,Female,34,10,92744.16,2,1,0,20715.33,0
C0000013,Johnson,394,Spain,Female,23,5,175450.42,2,1,0,129739.25,1
C0000014,Johnson,731,France,Male,60,6,0.0,2,1,1,24775.67,0
C0000015,Williams,673,France,Male,68,4,122002.67,2,1,0,100779.83,0
C0000016,Davis,636,France,Male,33,8,21825.31,1,1,1,108861.29,0
C0000017,Jones,455,France,Male,25,2,147247.55,1,1,0,136182.76,1
C0000018,Thomas,643,Germany,Male,50,5,0.0,3,0,1,63083.07,1
C0000019,Smith,830,France,Male,27,8,95820.86,2,0,0,176201.26,0
C0000020,Taylor,483,France,Male,51,0,40970.17,1,1,0,110761.13,0
C0000021,Moore,357,Germany,Male,36,4,0.0,2,1,1,144225.67,0
C0000022,Anderson,377,France,Male,31,3,101637.19,2,1,1,82301.71,1
C0000023,Williams,620,France,Female,20,8,0.0,2,0,0,68058.14,0
C0000024,Jones,572,France,Male,72,10,85583.22,2,1,1,125124.46,1
C0000025,Jackson,357,France,Female,73,10,188352.21,2,1,1,181143.89,0
C0000026,Wilson,659,Spain,Male,58,0,88180.82,1,0,0,149104.89,0
C0000027,Jones,483,France,Female,40,3,91588.63,1,1,0,145784.68,0
C0000028,Thomas,378,Germany,Female,57,0,0.0,2,1,1,108903.56,1
C0000029,Garcia,464,Germany,Female,28,2,66453.93,1,0,0,21246.45,0
C0000030,Johnson,843,France,Female,64,3,0.0,1,1,1,178160.98,0
C0000031,Jackson,383,Germany,Male,23,0,124240.36,2,1,0,63404.1,0
C0000032,Garcia,356,France,Female,51,4,0.0,1,1,1,105335.98,0
C0000033,Taylor,389,France,Female,18,5,139815.98,2,1,1,54718.31,1
C0000034,Thomas,679,Spain,Female,52,0,0.0,1,1,1,166512.67,0
C0000035,Jones,746,Spain,Female,42,9,0.0,1,1,1,26060.76,0
C0000036,Brown,411,Spain,Male,46,10,83031.11,2,1,1,138146.23,1
C0000037,Moore,435,France,Female,40,9,12565.41,2,0,0,28748.24,0
C0000038,Wilson,562,France,Male,35,3,39479.06,1,1,0,185281.34,0
C0000039,Davis,465,Germany,Female,31,3,0.0,1,1,0,29891.15,1
C0000040,Taylor,414,France,Male,34,0,0.0,2,1,1,180161.98,0
C0000041,Jackson,646,France,Female,19,1,79373.08,3,1,0,65375.56,0
C0000042,Miller,728,France,Male,48,10,186216.36,2,1,1,137571.65,1
C0000043,Brown,519,France,Male,36,9,130739.45,2,1,0,134647.44,0
